Title,Description,Company,OfferURL,SalaryFrom,SalaryTo,Currency,Technologies,AddedAt
"Frontend Mid/Senior JavaScript Developer","Frontend Mid/Senior JavaScript DeveloperSkySnap to firma zajmująca się usługami w zakresie monitoringu infrastruktury (drogi, koleje, sieci energetyczne) na każdym etapie – od planowania poprzez budowę, aż po prace związane z jej utrzymaniem. Budujemy nowoczesne narzędzia analityczne oparte o dane geoprzestrzenne pozyskiwane z dronów, samolotów i satelitów oraz algorytmy ML/AI.Obecnie rozwijamy geoportal, który integruje wizualizację danych przestrzennych, analizy oraz raportowanie. Szukamy Frontend JavaScript Developera, który dołączy do naszego zespołu i pomoże nam w realizacji ambitnych projektów.Czym będziesz się zajmować?
Rozwojem aplikacji webowej (geoportalu) od implementacji po wdrożenie na środowiska produkcyjne.
Tworzeniem i wdrażaniem nowych funkcjonalności, w tym zaawansowanych wizualizacji danych przestrzennych.
Współpracą z zespołem backendowym i projektantami UX/UI w celu integracji usług backendowych z interfejsem użytkownika.
Utrzymaniem istniejącego kodu oraz wdrażaniem usprawnień i optymalizacji.
Zapewnieniem wysokiej jakości kodu poprzez stosowanie wzorców projektowych i najlepszych praktyk (DRY, SOLID).
Rozwiązywaniem problemów w czasie rzeczywistym (np. obsługa websocketów, optymalizacja procesów CI/CD).
Współtworzeniem środowiska pracy opierającego się na automatyzacji, wydajności i niezawodności.
Współpracą przy obsłudze dużych zbiorów danych przestrzennych oraz integracji z narzędziami wizualizacyjnymi (np. OpenLayers, Potree, Three.js).
Nasze oczekiwania
Biegłość w używaniu języka TypeScript.
Min. 3 lata doświadczenia komercyjnego w pracy z JavaScript i React.
Umiejętność samodzielnego rozwiązywania problemów i podejmowania decyzji technicznych.
Znajomość metodologii wytwarzania oprogramowania oraz zasad pisania czystego kodu.
Doświadczenie w pracy z systemem kontroli wersji Git
Doświadczenie z bibliotekami frontendowymi i narzędziami: Material UI, Redux/Redux Saga, styled-components, emotion.
Płynna znajomość języka polskiego oraz znajomość języka angielskiego na poziomie umożliwiającym czytanie dokumentacji technicznej.
Mile widziane
Doświadczenie w pracy z technologiami geoprzestrzennymi: OpenLayers, Potree, Three.js.
Doświadczenie w projektowaniu i wdrażaniu aplikacji serwerowych Node.js (REST, websocket, SSR).
Znajomość podstaw procesów CI/CD.
Znajomość podstaw aplikacji Docker.
Umiejętność pracy z dużymi zbiorami danych przestrzennych w aplikacjach webowych.
Znajomość Vite+React oraz innych rozwiązań SSR.
Co oferujemy?
Pracę hybrydową – biuro zlokalizowane w Warszawie przy metrze Wilanowska.
Forma zatrudnienia - umowa o pracę lub umowa zlecenie.
Możliwość korzystania z dowolnego IDE i systemu operacyjnego.
Kartę Multisport oraz wsparcie w rozwoju zawodowym.
Realny wpływ na kierunek rozwoju aplikacji i technologii stosowanych w firmie.
Więcej informacji o nas znajdziesz na: https://skysnap.pl/Dołącz do nas i pomóż tworzyć rozwiązania, które zmieniają sposób monitorowania infrastruktury!Aplikacje prosimy wysyłać na adres: rekrutacja@skysnap.pl. W temacie wiadomości prosimy wpisać „Frontend Mid/Senior JavaScript Developer”Wynagrodzenie: 15 000 - 21 000 PLN brutto","SkySnap","https://justjoin.it/job-offer/skysnap-frontend-mid-senior-javascript-developer-warszawa-javascript",15000,21000,PLN,"JavaScript;TypeScript;React;Git;Redux;WebSocket","New"
"Expert Full Stack JavaScript Developer","Salary range: B2B 47-50 E/h + VAT 💰Ciklum is looking for a Expert Full Stack JavaScript Developer to join our team full-time in Poland.We are a custom product engineering company that supports both multinational organizations and scaling startups to solve their most complex business challenges. With a global team of over 4,000 highly skilled developers, consultants, analysts and product owners, we engineer technology that redefines industries and shapes the way people live.About the role:As a Expert Full Stack JavaScript Developer, become a part of a cross-functional development team engineering experiences of tomorrow.Responsibilities:
Design and implement complex web applications using the established approaches and best practices
Collaborate with developers and other team members to design, implement, and provide a performant, scalable, reliable, and flexible solution
Open to learning and working with various programming languages, frameworks, and concepts including Rust, Python, Java, React, open source
Requirements:
6+ years of software engineering experience, preferably across a variety of languages, technologies, and tools – Mostly NodeJS, ReactJS, and TypeScript
Strong proficiency in TypeScript, NodeJS, ReactJS
Experience in using NodeJS advanced features and building high-performance applications
Experience and a versatile approach to software engineering, including a diverse tech stack (Rust, C#, Python + tell us what you can do) is a big advantage
Experience in using complex queries and aggregations to databases (Postgres, Redis)
Hands-on experience with application deployment patterns and tools (Docker, Kubernetes)
Experience with a prior record in infrastructure configuration using popular cloud providers (like AWS, GCP, Azure) or Virtual Private Cloud is a big advantage
Experience in R&D and LLMs API development will be a plus
Solid understanding of software development principles and design patterns
Practical experience with testing approaches and tools
Supporting code quality metrics
Familiar with monitoring and logging tools
Experience working in an Agile development environment
Desirable:
Advanced fluent English is a must
Ability to express ideas, thoughts, and questions simply, concisely, and in a structured way
A go-getter that needs very little guidance to “conquer the mountain”
All-around team player, fast, self-learning individual
What's in it for you?
Care: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, life insurance and Multisport card
Tailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy license, language courses and company-paid certifications
Growth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globally
Flexibility: Own your schedule – you are the one to decide when to start your working day. Just dont miss your regular team stand-up
Opportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally and fulfill your potential
Global impact: work on large-scale projects that redefine industries with international and fast-growing clients
Welcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company and regular team-building events
About us:Join a well-established company and a strong team of professionals. Seize the perks of global opportunities, local approach and start-up spirit. Boost your skills with modern stacks and industry-leading clients!Enjoy what you do, do what you enjoy!Be bold, not bored!","Ciklum","https://justjoin.it/job-offer/ciklum-expert-full-stack-javascript-developer-gdansk-javascript-b2275c46",28680,30368,PLN,"TypeScript;Node.js;React","New"
"JavaScript Developer (Angular)","Hi there! We are STX Next, a global IT consulting company specializing in customer-focused software services. Join a group of 500 professionals dedicated to helping customers build outstanding products. Leveraging the latest advancements in the field, and a passion for innovation, we're shaping the future of technology one project at a time.Are you the NEXT one?Job descriptionWhat it’s like to be a JavaScript Angular Developer at STX NextAt STX Next, our JavaScript Technology Department is driven by a growing community of JavaScript enthusiasts. We collaborate across various technologies such as Angular, React, React Native, Node.js, and more. We work remotely and actively participate in meetups as attendees, speakers, and organizers—nurturing the development community and sharing our passion for technology.We pride ourselves on holistic development—continuously expanding our expertise in frameworks like Angular while staying up-to-date with the latest trends in front-end and back-end development. We take advantage of emerging frameworks and libraries, adopting AI solutions to enhance efficiency and deliver better results.As a JavaScript Developer with a focus on Angular, you will be part of a dynamic team that encourages collaboration, learning, and professional growth. Whether it’s through in-person meetups or virtual interactions, we foster a culture of continuous improvement, both in technical and soft skills. Responsibilities
Design, develop, and maintain web applications using Angular.
Write clean, maintainable, and scalable code that adheres to best practices.
Troubleshoot and debug applications to ensure smooth performance.
Implement security and data protection features to ensure application safety.
Identify performance bottlenecks and fix bugs in a timely manner.
Collaborate with cross-functional teams for continuous improvement.
Stay informed about emerging technologies and trends to keep your skills sharp.
Share your knowledge of new technologies with the team to foster a culture of learning.
Participate in code reviews and mentor less experienced team members.
Test and document your code to ensure reliability and maintainability.
Requirements

Commercial experience with Angular (9+) in building enterprise-level applications.
Excellent understanding of Object-Oriented Programming in TypeScript.
A solid grasp of key software design patterns used within Angular.
Experience with Angular SPA
Experience with NPM and Knowledge of dependency and build management systems like Webpack or Babel.
Experience with responsive web design and building applications that perform well across various devices.
Familiarity with CSS preprocessors like Sass or Less.
Experience with Test-Driven Development and Behavior-Driven Development using frameworks such as Cypress, Jest, Jasmine, Mocha, Chai, Protractor, and Karma.
Good communication skills in English (minimum B2).
Knowledge of Cloud technologies and experience in high-traffic, high-volume cloud applications.
Strong problem-solving, critical thinking, and communication skills.
Proven experience in designing and implementing robust, scalable, performant, and secure technical solutions.
The ability to assess the impact of decisions made during the design and implementation process.
 Ideally proven experience:
.Net / C#
Web API definition and documentation using OpenAPI/Swagger
Authorisation and Authentication methodology
Clean Architecture concept
Testing with xUnit
 Nice to have:
Familiarity with additional frameworks and tools such as React, Next.js, Node.js, Python
Experience with HATEOAS/Hypermedia APIs.
XML, XML schemas and XSLT
Cloud Foundry and Concourse pipelines","STX Next","https://justjoin.it/job-offer/stx-next-javascript-developer-angular--warszawa-javascript",0,0,,"TypeScript;Angular;Webpack;SaaS;Cypress;Node.js;.Net;React;Python","New"
"JavaScript Fullstack Developer","We are seeking a talented JavaScript Fullstack Developer to join our dynamic team. As a Fullstack Developer, you will work on creating scalable and robust web applications using JavaScript technologies for both backend and frontend development. This role offers the opportunity to work on challenging projects in a collaborative environment where innovation and quality are key.Responsibilities:
Design, develop, and maintain web applications using JavaScript for both backend and frontend development
Build and optimize scalable backend services using Node.js
Create responsive and intuitive user interfaces using modern JavaScript frameworks like React, Angular, or Vue.js
Develop and consume RESTful APIs or GraphQL services
Ensure the performance, security, and scalability of applications
Write clean, efficient, and well-documented code adhering to best practices
Collaborate with cross-functional teams, including designers, product managers, and other developers, to define and implement new features
Troubleshoot, debug, and resolve technical issues across the stack
Participate in code reviews and contribute to improving the team's coding standards
Stay updated with the latest trends and best practices in JavaScript and web development
Requirements:
Proven experience as a Fullstack Developer with a strong focus on JavaScript
Proficiency in backend development using Node.js and frameworks like Express.js or Nest.js
Expertise in frontend frameworks such as React, Angular, or Vue.js
Solid understanding of JavaScript (ES6+), TypeScript, HTML5, and CSS3
Experience with databases such as MongoDB, PostgreSQL, or MySQL
Familiarity with version control systems, particularly Git
Knowledge of containerization tools like Docker and deployment pipelines (CI/CD)
Strong understanding of software design principles and architecture patterns
Ability to write unit and integration tests to ensure application reliability
Excellent problem-solving skills and attention to detail
Bachelor’s degree in Computer Science, Software Engineering, or a related field (or equivalent work experience)
Offer: 
100% remote work 
MultiSport Puls 
Group insurance 
Medicover Premium 
e-learning platform","Experis Manpower Group","https://justjoin.it/job-offer/experis-manpower-group-javascript-fullstack-developer-warszawa-javascript",25200,33600,PLN,"JavaScript","New"
"Senior Javascript Developer","Project =The event platform for high-touch industries. It is mature software that has been on the market for some years now, but is nevertheless constantly being developed. Old solutions are constantly being rewritten and replaced, so the vast majority of actively maintained and developed code is relatively neat. The whole thing is rounded off by a respected test writing practice.Project duration = around 1 yearYou + Miquido =Join a team of 5-6 Full-stack engineers with a focus on web frontend development using JavaScript, Vue.js, Angular.js and Node.js.You can be the perfect match for us, if you have:
Extensive experience in JavaScript
Experience in Vue.js 2
Or other frameworks while being open to work in Vue 2
Experience with SaaS solutions that require high availability and scalability
Experience navigating or understanding complexities of large codebases of already established systems
Finding your way around large collections of shared components and utils - with a keen eye for keeping the codebase consistent with conventions
Writing and building new features with reusable generic code. With a space to create new components from the ground up
Following the code conventions established in the project
Good to have TypeScript experience
Good to have Node.js experience
Grasp of software architecture patterns
At ease with GitHub
Strong analytical and problem solving skills
Good level of English proficiency required as all communications will be conducted in English.
Nice to have backend development skills
Nice to have Angular.js experience
What do we offer?
ambitious, creative, talented & highly experienced team
contributing to projects for clients all over the world
flexible working hours and a possibility to work remotely
We value your trust in providing us your data, thus we are striving to use commercially acceptable means of protecting it. Below you will find the necessary information about the data we collect and process when you send us your CV.The controller of your personal data is Miquido Spółka z ograniczoną odpowiedzialnością sp. k. with its seat in Krakow, Zabłocie 43a, 30-701 Kraków, Poland (“Miquido”, “We”, “Our” or “Us”). See more","Miquido","https://justjoin.it/job-offer/miquido-senior-javascript-developer-krakow-javascript",20160,26040,PLN,"Vue;JavaScript;TypeScript;Node.js;AngularJS","New"
"Senior/Lead JavaScript Developer","Join our team in Warsaw, where we’re collaborating on a cutting-edge fintech venture with a global industry leader. Together with our Partner – Klarna, we’re building an IT hub designed to drive innovation in digital payment solutions. We’re on the lookout for top-tier engineers who thrive in dynamic, forward-thinking environments. Spyrosoft is leading the recruitment process, facilitating a seamless experience for candidates who are ready to shape the future of online shopping and payments.This opportunity is ideal for engineers who value independence, proactiveness, and flexibility. Our engagement begins with a B2B contract through Spyrosoft, transitioning to a direct contract with our Partner.We offer a hybrid work model in Warsaw’s vibrant Wola district. English fluency and eligibility to work in Poland are essential, as is the successful completion of a background check to meet the rigorous standards of the financial domain.Our process:
CV selection
Initial recruitment screening
Technical interview
Online logic test
Cultural fit interview
Requirements:
Minimum 5 years of experience in JavaScript/TypeScript
Proficiency with React.js (front-end) or Node.js (back-end), Redux (state management), Context API, Hooks
CI/CD experience, experience with npm or yarn, familiarity with Webpack, Babel
Experience with NoSQL databases (MongoDB, Firebase), SQL, handling databases in backend systems using Node.js
Familiarity with serverless architecture (e.g. AWS)
Frontend: Focus on scalability, performance, state management, and API integration in React.js
Backend: Focus on designing scalable, event-driven systems with Node.js
Discuss approach to debugging, refactoring, and writing clean, testable code
Experience with AWS services and cloud infrastructure","Spyrosoft","https://justjoin.it/job-offer/spyrosoft-senior-lead-javascript-developer-warszawa-javascript",27720,32760,PLN,"TypeScript;Node.js;Redux;React;JavaScript;AWS;SQL;Webpack;Yarn;NoSQL","New"
"Javascript Developer","Are you an experienced JavaScript Developer with a passion for building high-quality data visualization tools and improving widely-used libraries? Join our team and help shape the future of the world-renowned Highcharts library! We're looking for someone to bring their expertise in front-end technologies and contribute to improving one of the most popular data visualization solutions on the web.About Black Label:Black Label is a specialized IT services consultancy that helps people make better decisions by developing innovative dataviz-rich interfaces and apps. For almost two decades Black Label has worked with over 150 clients and IT Partners from around the world as consultants and developers of dataviz-rich interfaces and apps. We are built on community and our superpower is building small, close-knit teams. Now, you can join one of them!Tech Stack: Must-have: JavaScript (ES6+), TypeScript, React, Angular, HTML5, CSS3Nice-to-have: Flutter, React Native, Vue, Data Analysis, Design Patterns and Architectural Principles, Node.jsAbout You:
You have 3+ years of experience working with JavaScript/TypeScript and front-end technologies.
You are familiar with unit testing frameworks and understand the importance of writing maintainable code.
You’re comfortable working with GIT and managing repositories in a team environment.
You understand how to refactor code, improve architecture, and write efficient solutions that scale.
Don’t speak Norwegian? No worries. But English is a must (B2+/C1) - you’ll be working with clients from all over the globe.
You’re proactive, detail-oriented, and excited to contribute to data visualization projects for customers from all around the world.
Are you an open, friendly person who gets along with people effortlessly? At Black Label, we thrive on an enjoyable work atmosphere.
What you’ll do at Black Label:
Together with other developers on the team, you will help our global customers achieve their goals and make better data-driven decisions by developing a variety of projects, from short, hour-long tasks to long-term, agile-driven partnerships. We have several projects in the pipeline, and we will tailor them to match your skills and preferences.
Your responsibilities will include developing custom functionalities and collaborating with clients to support the integration of Highcharts into their projects.
You will implement new functionalities and refactor existing solutions to improve performance and maintainability,
You will perform code reviews to ensure high-quality standards across the team.
You will write unit tests and ensure coverage for new and existing functionalities.
You will create and maintain technical documentation for both internal and external use.
You will assist external users of Highcharts by implementing custom functionalities tailored to their needs.
You’ll be part of a team of dataviz enthusiasts who value openness and collaboration.
What You’ll get in Return:
13500 - 16000 net (+vat) - B2B contract.
Flexible working hours, which we will jointly adjust to your individual and personal needs.
Modern office space located on the 16th floor, offering breathtaking, panoramic views of Krakow that will inspire your work every day.
Trust. At Black Label, everyone does their own thing, and that's why they do it well. 
20 days vacation.
We are committed to promoting an active lifestyle and keeping our team healthy which is why you’ll get Luxmed private medical care, a Multisport card, yoga classes and more!
New friends who will help you with your computer, make the best home-office pizza in town, teach you sailing or climbing.
Individual in-house English lessons with Native Speakers as well as regular conversation groups. We are quickly becoming a two-language company (PL/EN) and good communication in both languages is foundational.
We have a company apartment in Spain. You go when you want, and you feel at home. 
Equipment of your choice: you can have MacOS, monitors, comfortable chair, noise-canceling headphones and even a footrest. 
Hybrid model: Our optimal setup is 3 days in the office and 2 days working remotely per week, especially during the first few months. Please note that while we may explore more flexibility in the future, fully remote work is not an option.","Black Label","https://justjoin.it/job-offer/black-label-javascript-developer-krakow-javascript",13500,16000,PLN,"JS ES6;TypeScript;Angular;CSS3;HTML5;React;Node.js;Vue;React Native;Flutter","New"
"Remote JavaScript Developer - Research.com","Research.com, globalny lider w rankingach dla społeczności naukowej oraz rankingach edukacyjnych, zaprasza Cię do udziału w wyjątkowym i przełomowym projekcie! Razem z nami możesz wpłynąć na oblicze “naukowego internetu”, realizując innowacyjny projekt oparty na sztucznej inteligencji i machine learningu. Chcesz dowiedzieć się więcej? Sprawdź szczegóły!Opis stanowiska:Wsparcie zespołu w budowaniu i rozwoju architektury aplikacji webowychUdział w podejmowaniu decyzji i rozwiązywaniu problemów w określonych obszarach projektuProwadzenie zespołu developerskiegoDzielenie się wiedzą i doświadczeniami z resztą zespołuPisanie czystego, wydajnego koduProwadzenie procesu Code Review oraz podejmowanie decyzji na poziomie koduTech stack projektu: JavaScript/TypeScript, Nest, Node.js/ClaudFlare Pages, Vue.js, MariaDB, Algolia, Docker, mikroserwisy, AWSWiedza i umiejętności potrzebne w tej roli:
Minimum 3-letnie doświadczenie w pisaniu aplikacji Javascript
Znajomość Nest.js
Znajomość popularnych frameworków JavaScript owych (np. Vue, React)
Mile widziane doświadczenie z Astro
Umiejętność tworzenia architektury oprogramowania
Doświadczenie w technologii SSR
Tworzenie czytelnego kodu zgodnego z zasadami SOLID, umiejętność wykorzystywania Design Patterns w codziennej pracy
Umiejętność pisania testów jednostkowych, funkcjonalnych oraz e2e (playwright)
Język angielski na poziomie umożliwiającym swobodne czytanie i pisanie dokumentacji oraz porozumiewanie się z współpracownikami (min. B2)
Poczucie odpowiedzialności za rozwijany produkt
Mile widziane: 
Doświadczenie w prowadzeniu zespołu
Praktyczne doświadczenie w pracy z monorepo
Znajomość ekosystemu CloudFlare
Znajomość zasad SEO technicznego
Zainteresowanie nowościami ekosystemu js (vite etc.)","Research.com","https://justjoin.it/job-offer/research-com-remote-javascript-developer---research-com-warszawa-javascript",18000,22000,PLN,"AWS;TypeScript;Node.js;Express.js;Vue.js;JavaScript;Nest.js;PHP;Python;Cloudflare","New"
"Senior JavaScript Developer for a navigation platform","The product we are working on is the biggest community-based navigation app, complex web-services and other solutions related to it. The web and mobile apps handle information at massive scale and extend well beyond the search giving people and companies a lot of new useful options. Here you’ll be a part of a skilled international team, working on an app with >100 mln users!Requirements:
Location in Warsaw
7+ years experience as a Front-End/Full-Stack developer
Strong in JavaScript and toolkits (Gulp/Webpack/Karma/Jasmine, etc.);
Good grasp of at least one frontend framework (preferably React, or Angular/Vue.js);
Experience with one of BE technologies (Node.JS/Ruby/Python/Java/.Net)
Experience with distributed version control systems (Git/Mercurial/Fossil, etc.);
Experience with implementing pixel-perfect designs over HTML/CSS;
Experience in working with a Linux-based server environment, solid Linux/Unix skills;
Experience of work in a distributed team;
Upper-intermediate level of English
Nice to have:
Experience in building, maintaining, and optimizing responsive web apps;
Cloud technologies;
Developing high load / high traffic user-facing software;
Writing unit tests;
TypeScript and other frameworks (Angular/Backbone/Vue);
Mobile-specific sites, and mobile-web/native app integrations;
Setup and continuous improvement of development and multi-stage production environment;
Open source contributions
We offer:
Great international team of professionals (Kyiv, Warsaw, Tel Aviv, New York);
Compensation package (20 paid vacation days, paid sick leaves), flexible working hours;
Work with cutting edge technologies;
Medical Insurance;
English courses with a native speaker, yoga, paid tech training and other activities for professional growth;
Hybrid work mode (∼3 days in the office);
International business trips;
Comfortable office","Synergetica","https://justjoin.it/job-offer/synergetica-senior-javascript-developer-for-a-navigation-platform-warszawa-javascript-1af5497c",0,0,,"React;JavaScript;Backend;HTML;CSS;Angular;Vue","New"
"Frontend Developer (JavaScript)","W Scalo zajmujemy się dostarczaniem projektów software'owych i wspieraniem naszych partnerów w rozwijaniu ich biznesu. Tworzymy oprogramowanie, które umożliwia ludziom dokonywanie zmian, działanie w szybszym tempie oraz osiąganie lepszych rezultatów. Jesteśmy firmą, która wykorzystuje szerokie spektrum usług IT, żeby pomagać klientom. Obszary naszego działania to m.in.: doradztwo technologiczne, tworzenie oprogramowania, systemy wbudowane, rozwiązania chmurowe, zarządzanie danymi, dedykowane zespoły developerskie. Cześć! U nas znajdziesz to, czego szukasz - przekonaj się! W Scalo czeka na Ciebie:
projekt z branży bankowej, dotyczący procesów oszczędnościowych,
rozwijanie aplikacji,
integracja rozwiązań z wewnętrznymi systemami banku oraz zewnętrznymi systemami dostawcy usługi,
optymalizacja aplikacji w szczególności pod kątem zapewnienia wysokiej dostępności i minimalnych opóźnień,
tworzenie oprogramowania uwzględniającego aspekty technologiczne, wydajnościowe i bezpieczeństwa,
tworzenie dokumentacji technicznej,
uczestniczenie we wszystkich fazach cyklu rozwojowego produktu,
przeprowadzanie testów autorskich wytworzonego oprogramowania oraz wzajemnego przeglądu oprogramowania stworzonego w zespole,
tworzenie testów jednostkowych
praca 100% zdalna,
stawka do 140 zł/h przy B2B.
Ta oferta jest dla Ciebie, jeśli:
posiadasz bardzo dobrą znajomość JavaScript (ES6, Vanilla JS) i min. 4 lata doświadczenia komercyjnego, 
bardzo dobrze znasz: HTML5 i CSS 3.0, REST API,
dobrze znasz standardy WCAG,
posiadasz dobrą znajomość narzędzi: NodeJS, Webpack, Redux,
masz kilkuletnie doświadczenie w tworzeniu aplikacji internetowych SPA, tworzonych w oparciu o responsywne projektowanie stron internetowych RWD,
masz doświadczenie w pracy z technologią Web Components,
pracujesz z systemem kontroli wersji (GIT),
potrafisz pisać testy jednostkowe w Karma lub Jasmine,
dodatkowym atutem będzie znajomość: wzorców projektowych, LitElement, Storybook, Figma, Azure Pipelines, TDD, BDD, DDD, Mobile first.
Co dla Ciebie mamy:
długofalową współpracę - różnorodne projekty (działamy w ramach Software Services, Embedded Services, Data Services, Cloud Services), 
możliwość rozwoju kompetencji we współpracy z naszym Center of Excellence, 
dostęp do technologicznej platformy e-learningowej - Udemy,    
kafeteryjny system benefitów – Motivizer, 
prywatną opiekę medyczną – Luxmed, 
możliwość wystąpień na naszych autorskich eventach IT- ProMEET. 
 Brzmi interesująco? Aplikuj – czekamy na Twoje CV!","SCALO","https://justjoin.it/job-offer/scalo-frontend-developer-javascript--warszawa-javascript",22000,23500,PLN,"JavaScript","New"
"Senior Backend JavaScript Developer","Hi! We're on the lookout for a Senior Backend JS Developer for our fantastic client, a product company based in the USA and UK. Their product makes the life of hundreds of thousands of people around the globe a breeze! :)Experienced full-stacks or developers of other technologies are also welcome to apply!Your main task will be to work with the product and design department, taking full responsibility for the project from concept to implementation of end-to-end features – from design, database, coding to security.The offer:📄 CoE (FTE)💲 Total compensation up to 60.000 pln gross/month (incl. up to 40,000 pln gross base + company shares + an annual bonus), 🏢 Hybrid work⚽️ Sport Card🩺  Healthcare (family package)","Yard Corporate","https://justjoin.it/job-offer/yard-corporate-senior-backend-javascript-developer-warszawa-javascript-65906aa9",34000,40000,PLN,"Node.js;AWS;MySQL;TypeScript;React","New"
"Fullstack Developer","Fullstack Developer👋 We’re Hiring: 3x Fullstack Developer(s) *Javascript 📍 Location: Remote (EU)💸 Salary: Competitive (Open to both permanent salaried, or 6 month contract day-rate)At Alliants, we're on a mission to transform every customer engagement into something exceptional. We believe in working smart together to push the boundaries of company culture and create future-proof customer experiences.Are you passionate about creating meaningful customer experiences and helping organisations deliver on their brand promises?Join us as a Fullstack Developer in our growing product and services team! 🚀The Role:As a Fullstack Developer at Alliants, you will be crucial in developing and maintaining our guest experience platform using Javascript, React, Node.js (and Ruby on Rails is advantageous). Collaborating with a multidisciplinary team, you will transform business requirements into reliable, scalable, and user-friendly applications that meet our clients' needs.You will engage in all phases of the software development lifecycle, including planning, coding, testing, and deployment, to ensure the delivery of high-quality software. Your commitment to continuous learning and professional growth will contribute to a productive and collaborative team environment.Your contributions will directly enhance client experiences in the luxury hotel, travel, and retail sectors by delivering solutions that elevate customer engagement and satisfaction. Important To Have: 
Proficiency in Full Stack Development with JavaScript, React, and Node.js.
Solid understanding of Object-Oriented Programming (OOP) principles and design patterns. S.O.L.I.D. principles.
Experience with relational databases, particularly PostgreSQL, including database schema design.
Familiarity with developing, deploying, and maintaining SaaS applications for enterprise customers.
Knowledge of API design, development, and integration. GraphQL and RESTful
Experience with testing tools and methodologies (e.g., RSpec) and a commitment to writing tests to ensure code quality and reliability.
Nice To Have:
Ruby on Rails Development experience
BFF design pattern (Backend for Frontend)
Ability to collaborate with clients to design technical solutions addressing business challenges.
Familiarity with modern deployment and containerisation technologies, such as Docker.
Experience with cloud platforms like AWS, including services for computing, storage, databases, and deployment.
Understanding of DevOps principles and experience with CI/CD pipelines using tools like Jenkins, Travis CI, or GitLab CI.
Who are Alliants and what’s in it for you?Alliants, established in 2009, is dedicated to producing customer engagement technologies and services that pave the way for a more human, sustainable, and promising future for hospitality. At Alliants, we are all in for our people and our industry.We know we all work better in an autonomous, collaborative, diverse and equitable space. To support you in becoming the best version of yourself, we offer you:💷 A competitive salary🎁 Up to 10% annual bonus⚖️ Remote & flexible working🏖️ 25 days holiday + public holidays✈️ Digital Nomad: travel abroad while working for 30 days a year🥡 Monthly takeaway allowance🛍️ Customised onboarding kit🎒 £1,500 training and development budget each year🌳 To celebrate you joining the team we will plant a Great Oak treeAlliants celebrate diversity and are committed to creating an inclusive environment for all employees.","Alliants Ltd","https://justjoin.it/job-offer/alliants-ltd-fullstack-developer-sarisbury-green-javascript",0,0,,"Node.js;React;JavaScript;Ruby on Rails","New"
