Title,Description,Company,OfferURL,SalaryFrom,SalaryTo,Currency,Technologies,AddedAt
"Java Developer","About the projectWe are looking for a Java Developer who will join the product development team to implement new and continue improving existing features of the trading platform.
Your responsibilitiesDesign, develop, and maintain Java-based application.Optimize performance and ensure scalability of applications.Write clean, maintainable, and efficient code, following best practices.Debug and resolve technical issues in a timely manner.Stay updated on emerging trends and technologies in the Java ecosystem.
Our requirementsSolid knowledge of Core Java (3+ years hands-on experience).Good understanding of OOP/D principles.Good understanding of unit testing, CI practices.Experience with Swing framework is desirable.Very good knowledge of English (at least B2 level).","Tap.Talent","https://www.pracuj.pl/praca/java-developer-wroclaw,oferta,1003804074?s=dd1f2146&searchId=MTczNzc0NTQ2MTc0OS40MjQ=",15000,18000,zł,"Java;XML;SQL;Swing;Jenkins;Confluence;Git;Jira","24 stycznia 2025"
"Programista Java","O projekcie: Rozwiązania dla transportu publicznego.
Twój zakres obowiązków: Rozwijanie obecnego oprogramowania centralnegoTworzenie nowych modułów aplikacji centralekAnaliza występujących błędów
Nasze wymagania: Znajomość języka Java SE w wersji co najmniej 11Znajomość relacyjnych baz danychMotywacja do pracy, komunikatywność, samodzielność oraz umiejętność pracy w zespoleMile widzianeAngularKotlinznajomość Java EE – Spring + Hibernatedoświadczenie w tworzeniu systemów opartych o webservice’y (JAX – RS, Jersey)PostgreSQLGitJęzyk skryptowyZnajomość DockerOsoby z doświadczeniem oraz osoby w trakcie studiów","Zakład Elektroniczny SiMS spółka z o.o. spółka komandytowa","https://www.pracuj.pl/praca/programista-java-bydgoszcz-pod-skarpa-51a,oferta,1003808437?s=dd1f2146&searchId=MTczNzc0NTQ2MTc0OS40MjQ=",0,0,,"Java","24 stycznia 2025"
"Java Developer","
Twój zakres obowiązków: uczestnictwo w projektach z branży logistycznej, mających na celu rozwój systemów m.in do rezerwacji biletów,dbanie o utrzymanie platformy, rozwiązywanie bieżących problemów i tworzenie nowych funkcjonalności,bieżąca współpraca z zespołem developerskim,praca w modelu 100% zdalnym,
Nasze wymagania: posiadasz co najmniej 3- letnie doświadczenie komercyjne (min. Java 8),na co dzień wykorzystujesz Spring/Hibernate,szybka analiza kodu nie sprawia Ci żadnych problemów,chcesz pracować w dynamicznie rozwijającym się środowisku,swobodnie komunikujesz się w języku angielskim,na co dzień pracujesz z: Docker, Kafka, Jenkins, Kubernetes, Maven, Microservices, AWS lub GCP.","Scalo Sp. z o.o.","https://www.pracuj.pl/praca/java-developer-krakow,oferta,1003810962?s=dd1f2146&searchId=MTczNzc0NTQ2MTc0OS40MjQ=",0,0,,"Docker;Kafka;Jenkins;Kubernetes;Maven;AWS","24 stycznia 2025"
"Java Developer","
Twój zakres obowiązków: udział w projektach dotyczących wdrażania procesów bankowości elektronicznej i mobilnej dla klientów z sektora małych i średnich przedsiębiorstw,udział w pełnym cyklu wytwarzania oprogramowania w zespole Scrumowym,implementacja rozwiązań backendowych zgodnie z wymaganiami biznesowymi i technologicznymi,współpraca z zespołem w zakresie analizy wymagań i projektowania architektury systemów,testowanie rozwiązań (w tym testy jednostkowe i integracyjne),wspomaganie procesu rozwoju produktu, dzielenie się wiedzą i doświadczeniem z członkami zespołu,optymalizacja istniejących rozwiązań i dbanie o jakość kodu,praca hybrydowa - spotkania zespołowe w biurze 2 razy w miesiącu (Poznań lub Wrocław),
Nasze wymagania: masz doświadczenie w programowaniu w języku Java na poziomie Mid+ lub Senior,znasz Javę 17-21, Spring, Spring Boot,znasz PostgreSQL, Oracle, Hibernate, Maven,znasz RabbitMQ, Kafka,znasz GitLab, Jenkins, Feign, OpenShift, Elastic,potrafisz proponować i przedstawiać rozwiązania techniczne wraz z planem ich wdrożenia,masz doświadczenie w pracy w metodyce Agile (praca w sprintach),charakteryzują Cię dobre umiejętności komunikacyjne, umiesz pracować w zespole,masz wykształcenie wyższe w obszarze wytwarzania oprogramowania lub pokrewnym.","Scalo Sp. z o.o.","https://www.pracuj.pl/praca/java-developer-wroclaw,oferta,1003863090?s=dd1f2146&searchId=MTczNzc0NTQ2MTc0OS40MjQ=",12000,14000,zł,"Java;Spring Boot;PostgreSQL;Oracle;Hibernate;Maven;RabbitMQ;Kafka;GitLab;Jenkins;OpenShift","24 stycznia 2025"
"Java Developer","About the projectAs a Java Developer you will be at the heart of our client's scalable technology platforms and be accountable for delivering common banking functionalities used in most of the propositions that the bank offers to its customers.Help Develop a Next-Generation Financial Services Platform That Extends Beyond Banking.On-Site, Netherlands.
Your responsibilitiesWorking in a squad responsible for the end-to-end customer journey. You own the stack and the journey!Collaborate with the Product Owner and Engineers to interpret business requirements and deliver features with real business valueBe precise and accurate in your delivered workFoster a collaborative team environment and actively learn from your colleaguesTo share and teach your knowledge to other team members as wellEnsure software security by applying timely updates and aiming for zero IT riskInfluence technology choices and contribute to the architecture of newly developed components and servicesDesign and develop automated unit, integration, and regression tests
Our requirementsAt least 5 years experience with Java 17 and above, and Spring BootExperience with infrastructure and DevOps tasks (e.g. Azure, pipelines, certificates)Experience with Domain Driven DesignExperience with Unit and Integration testingGood to have experience with observability technologies and approaches (Prometheus/Grafana/ELK)Code quality matters for you and writing good code excites youYou value collaboration, and have strong inter-personal and communication skillsYou have a growth mindset, you are actively looking for feedback from your colleaguesYou are looking for opportunities to learn new technologies and techniquesYou take ownership of refining, coding, testing, and deploying your workYou help others be successful Fluent in English (written and verbal)OptionalGood to have experience with Kafka & Cassandra","ITDS Polska Sp. z o.o.","https://www.pracuj.pl/praca/java-developer-netherlands,oferta,11086579?s=dd1f2146&searchId=MTczNzc0NTQ2MTc0OS40MjQ=",0,0,,"Java;Spring Boot;Prometheus;Grafana;ELK","24 stycznia 2025"
"Java Developer","O projekcie: Our client needs suport of an experienced Java Developer. As a Senior Software Developer, you will play a key role within the development team, leveraging your expertise to create exceptional IT solutions (CCTT - Customer Climate Tracking Tool). We are looking for skilled professionals to join the Large Corporates and Institutions (LC&I) and Environmental Social and Governance (ESG) Data Tools teams.
Twój zakres obowiązków: Collaborate with the development team to design, develop, and implement IT solutions, including the Customer Climate Tracking Tool (CCTT).Utilize Java (including Spring Boot) and React to build and maintain high-quality software applications.Integrate systems using technologies like REST and Kafka to ensure seamless data flow.Manage and optimize containerized environments using Docker and Kubernetes.Actively participate in code reviews, providing and receiving constructive feedback to enhance code quality.Work closely with cross-functional teams in an agile environment, ensuring alignment with project goals.Continuously i
Nasze wymagania: Advanced Java development expertise (including Spring Boot) with 5+ years of experience.Strong web development skills in React, with 3+ years of experience.Hands-on experience integrating systems using technologies like REST and Kafka.Practical experience with Docker and Kubernetes in a professional setting.","KUBO","https://www.pracuj.pl/praca/java-developer-gdansk,oferta,1003862260?s=dd1f2146&searchId=MTczNzc0NTQ2MTc0OS40MjQ=",12000,15000,zł,"Java;Spring Boot;React Native;REST;Kafka;Docker;Kubernetes","24 stycznia 2025"
"Programista Java","
Twój zakres obowiązków: uczestniczysz w procesie dewelopmentu backendowych modułów aplikacji webowych
Nasze wymagania: masz minimum kilkuletnie komercyjne doświadczenie zawodowe w charakterze programisty JAVAmasz doświadczenie w pracy w otoczeniu technologicznym, takim jak: Spring/Spring Boot, Kotlin, Hibernate, Groovy, SOAP, REST APImasz doświadczenie w tworzeniu aplikacji webowych oraz ugruntowaną wiedzę z zakresu inżynierii oprogramowaniaposługujesz się językiem SQL oraz masz doświadczenie w projektowaniu, implementacji i optymalizacji relacyjnych baz danychMile widzianeznajomość frameworku Angular w przypadku kandydatów o profilu fullstackznajomość MSSQL, PostgreSQLznajomość platformy testowej Spock","PKO Ubezpieczenia","https://www.pracuj.pl/praca/programista-java-warszawa-swietokrzyska-36,oferta,1003824600?s=dd1f2146&searchId=MTczNzc0NTQ2MTc0OS40MjQ=",0,0,,"Java;Spring Boot;Spring Framework;Kotlin;Hibernate;Groovy;SOAP;REST API;SQL","24 stycznia 2025"
"Java Developer","About the projectAs a Java Developer, you'll be a key player in our innovative projects.
Your responsibilitiesDesigning, developing, and maintaining Java-based applications.Collaborating with cross-functional teams to define, design, and ship new features.Ensuring the best possible performance, quality, and responsiveness of applications.Identifying and correcting bottlenecks and fixing bugs.Helping to maintain code quality, organization, and automation.
Our requirementsProven experience as a Java Developer.Familiarity with Spring Framework, Hibernate, Microservices, API, Kafka, AWS/GCP/AzureStrong problem-solving skills.Excellent communication and teamwork abilities.Bachelor's degree in Computer Science or a related field.","Mindbox S.A.","https://www.pracuj.pl/praca/java-developer-warszawa-zlota-59,oferta,1003832064?s=dd1f2146&searchId=MTczNzc0NTQ2MTc0OS40MjQ=",22000,26000,zł,"Spring Framework;Hibernate;Microservices;API;Kafka","24 stycznia 2025"
"Java Developer","About the projectWe are seeking a skilled Java Developer to join our development team. The ideal candidate will have a strong background in building scalable and efficient backend systems using Java. This role involves working on various stages of the software development lifecycle, including design, development, testing, and deployment.This is an excellent opportunity to work on cutting-edge backend systems and contribute to innovative projects. If you are passionate about Java development and enjoy solving complex problems in a collaborative environment, we encourage you to apply.MD rate: 200 - 240 EUR
Your responsibilitiesDevelop, test, and maintain backend applications using Java.Design and implement scalable and secure backend solutions.Collaborate with front-end teams to integrate APIs and services.Write clean, efficient, and reusable code.Troubleshoot, debug, and optimize applications.Participate in code reviews and ensure adherence to best practices.
Our requirementsStrong proficiency in Java (8 or newer).Experience with Spring Framework (Spring Boot, Spring MVC).Solid understanding of object-oriented programming (OOP) and design patterns.Experience with RESTful APIs and microservices architecture.Familiarity with relational databases such as PostgreSQL, MySQL, or Oracle.Knowledge of version control systems, particularly Git.Understanding of CI/CD pipelines and build tools like Maven or Gradle.Strong problem-solving skills and attention to detail.OptionalExperience with Kubernetes and Docker for containerization.Familiarity with NoSQL databases such as MongoDB or Cassandra.Knowledge of messaging systems like RabbitMQ or Apache Kafka.Experience with JUnit, Mockito, or other testing frameworks.Familiarity with front-end technologies such as JavaScript or TypeScript.Exposure to Agile/Scrum development methodologies.Experience with GraphQL APIs.","EndySoft","https://www.pracuj.pl/praca/java-developer-warszawa,oferta,1003853564?s=dd1f2146&searchId=MTczNzc0NTQ2MTc0OS40MjQ=",17400,20900,zł,"Java;Spring Boot;Spring Framework;PostgreSQL;MySQL;Oracle;Maven;Gradle;Git","24 stycznia 2025"
"Senior Java Developer for IoT Solutions","About the projectAbout our TeamSamsung R&D Institute Poland is looking for Java Backend Developer, for the team working on SmartThings Pro and EHS projects - building IoT solution development. If you would like to work on innovative solutions from ideation, through proof of concept, to the commercialization phase, come and join us.We're highly specialized team in developing of modern tools for buildings environment control. Our solutions provide convenient and highly advance IoT technology for controlling human comfort and energy consumption efficiency of commercial and residential buildings. Our products are implemented globally and local business support team provides instantaneous contact with the market and excellence of our solutions.We’re looking for a Software Engineer passionate not only about software development but also about innovative solutions, which can change our everyday life. If want to search for new solutions and have motivation to learn and develop, we also strongly encourage you to apply. Due to rapid growth of our team we will consider candidates on different experience levels.Technologies in use●	Java 11, Spring-Boot●	PostgreSQL, Redis, RabbitMQ●	Azure, Docker, Kubernetes●	Git, Jira, Confluence
Your responsibilitiesDevelopment of backend commercial solutions and PoC in IoT areaParticipate in code reviews and contribute to the development of software engineering best practicesSupporting full software development lifecycle of backend solutionsParticipate in international meetings and workshopsResearch about innovative solutions
Our requirementsMinimum 5 years of professional experience as a Java/Spring developerMinimum 2 years of professional experience  with Microservice ArchitectureMinimum 2 years of professional experience with cloud platforms (preferable Azure)Very good knowledge of Spring, REST API, SQLKnowledge of frontend technologies at least good knowledge of HTML, CSS, JavaScriptKnowledge of the Linux environmentExcellent problem-solving and critical thinking skillsAbility to write clean and high quality codeB.Sc. or M.Sc. degree in: preferably computer science, telecommunication, other STEM fieldGood English and Polish - communication levelOptionalPrevious experience in commercial projectsFamiliarity with related technologies Redis, RabbitMQ,Familiarity with CI/CD based on: Docker, KubernetesFamiliarity with Spring Security and OAuth","Samsung R&D Institute Poland","https://www.pracuj.pl/praca/senior-java-developer-for-iot-solutions-warszawa-plac-europejski-1,oferta,1003781995?s=dd1f2146&searchId=MTczNzc0NTQ2MTc0OS40MjQ=&ref=between_offers_boosterAI_L2_8_1_1",0,0,,"Java;Spring Framework;REST API;SQL;HTML;CSS;JavaScript","24 stycznia 2025"
